Thepa	Theca	Carpa	Arath
3	1	2	2
1	1	1	1
1	1	1	1
0	1	2	1
3	2	1	3
1	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	2	2	1
2	2	2	2
2	2	1	3
1	2	1	1
1	1	0	1
2	2	1	1
0	9	2	0
1	1	0	1
1	1	2	1
1	1	1	1
1	1	1	1
1	1	0	1
2	2	1	2
1	2	1	1
1	1	0	1
1	2	1	1
2	3	3	2
1	1	1	1
1	1	2	1
1	1	1	1
2	2	2	2
1	1	1	1
0	1	0	1
1	1	1	1
1	1	1	1
2	1	3	1
1	2	0	1
1	1	1	1
1	2	1	1
1	1	1	1
1	1	1	1
1	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	0
1	2	1	1
2	2	2	2
1	2	1	2
1	1	1	1
4	2	0	3
2	1	1	2
1	1	1	1
1	1	1	1
0	1	1	1
0	2	1	0
1	1	1	1
0	1	2	2
0	1	1	1
2	1	1	2
1	2	1	1
0	1	1	0
1	2	0	1
1	1	1	2
2	1	1	2
0	1	1	0
5	2	2	5
1	1	0	1
0	1	1	0
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	2
1	1	1	1
2	1	1	3
1	1	0	1
4	2	2	5
1	1	1	1
1	1	3	1
2	1	1	2
1	1	1	1
2	1	2	1
1	1	1	1
2	2	2	2
0	1	1	0
1	1	1	1
1	1	1	1
0	1	1	0
2	2	1	2
2	1	2	1
1	1	1	1
0	1	1	0
2	1	1	2
1	1	2	1
1	1	1	1
0	1	1	0
1	3	1	1
1	1	1	1
1	1	0	1
1	1	1	1
1	1	1	1
1	1	1	4
2	2	1	2
0	1	1	0
3	3	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
1	1	0	1
1	1	1	1
1	1	1	1
1	1	1	1
2	2	1	2
0	1	1	0
1	1	1	1
1	1	1	1
1	1	1	1
2	2	2	2
1	3	1	1
2	2	1	2
13	13	11	15
1	1	1	1
2	1	1	1
1	1	1	1
1	1	1	1
2	2	2	2
2	2	1	3
1	1	1	1
2	1	1	2
1	1	1	1
1	1	1	1
2	3	3	2
0	1	1	0
1	1	1	1
1	1	1	1
1	2	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	1
15	18	14	17
1	1	1	1
3	2	2	3
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
0	1	1	0
1	1	1	1
1	1	2	1
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	1
1	1	0	1
1	1	2	1
1	1	1	1
1	1	1	1
2	2	1	2
1	2	1	1
7	6	6	7
1	1	0	0
1	2	3	5
0	1	1	0
1	1	1	1
0	1	1	0
1	2	1	2
4	2	0	4
2	2	2	2
1	1	1	1
1	1	1	1
1	1	1	2
1	2	2	1
5	4	3	5
3	2	1	3
1	1	2	1
1	1	1	1
1	1	0	1
1	2	1	1
1	1	1	1
1	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	0
2	1	1	2
2	1	1	2
2	2	2	2
1	1	1	1
1	1	1	1
0	1	1	0
1	1	1	1
1	1	1	1
1	1	1	0
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	1
1	1	1	1
2	2	2	3
2	2	7	2
0	1	1	0
1	2	2	1
1	1	1	1
1	1	1	1
2	1	1	1
3	2	3	3
1	1	1	1
0	2	2	0
1	1	1	1
0	3	1	0
3	2	2	3
4	4	1	4
1	1	1	1
3	6	3	3
1	1	1	1
1	1	1	1
1	2	2	1
0	1	2	0
1	1	1	1
2	1	1	2
2	1	1	2
1	1	1	1
1	1	1	1
1	1	2	1
1	1	1	2
2	1	1	2
0	1	1	1
1	1	1	1
0	2	1	0
1	2	2	1
1	1	0	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
2	2	2	2
1	2	2	2
2	1	1	3
1	1	0	1
2	1	1	2
1	2	2	1
1	1	1	1
1	2	1	1
1	1	0	1
4	1	1	2
2	1	1	2
2	1	1	2
1	1	2	1
0	1	4	0
1	1	1	1
5	3	3	5
1	1	1	1
2	1	1	2
2	1	1	2
1	1	1	1
1	1	1	2
1	1	1	1
2	1	0	1
1	1	1	2
2	1	1	1
1	3	2	3
2	2	2	2
1	1	1	1
1	1	1	1
1	1	1	1
1	2	1	1
1	4	3	1
2	2	2	2
2	2	2	2
0	1	1	0
2	1	1	2
3	1	1	2
0	1	2	0
1	1	1	1
0	1	1	0
2	2	0	2
1	1	1	2
1	1	1	1
2	2	1	3
3	2	2	3
1	1	1	1
2	1	1	1
1	7	0	6
1	1	1	1
2	1	1	2
1	1	1	1
2	1	2	2
1	2	1	2
1	2	1	1
1	1	1	1
2	2	2	2
1	2	1	1
1	1	1	1
3	2	2	3
1	1	1	1
1	1	1	1
2	1	0	2
1	1	1	1
1	1	1	1
0	1	1	0
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	1
0	1	1	0
1	1	1	2
1	1	1	1
1	1	1	1
1	2	1	2
0	1	1	0
1	2	0	1
1	1	1	1
1	1	1	1
2	1	3	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
1	1	2	3
1	1	1	1
1	1	1	1
0	1	1	0
1	1	1	1
2	2	1	2
1	1	1	1
4	2	2	4
3	2	1	3
1	1	1	1
1	1	1	1
1	1	1	1
1	2	3	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
2	2	2	2
1	1	1	1
1	2	1	1
3	2	2	3
2	4	5	3
1	1	1	1
0	1	1	0
1	1	2	1
1	1	1	1
0	1	1	0
2	1	1	1
1	1	1	1
0	1	1	0
1	1	1	1
5	2	2	5
2	1	1	1
0	1	0	1
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	1
1	1	0	1
2	2	2	3
1	2	1	1
0	1	1	0
1	1	1	1
2	1	0	2
1	1	0	1
1	1	1	1
1	2	2	1
1	1	0	1
1	1	1	1
1	3	1	1
2	2	2	2
1	1	1	1
1	1	1	0
1	2	1	1
2	1	2	2
1	1	2	2
2	2	2	2
1	1	0	1
1	1	1	1
0	1	1	0
1	1	0	1
1	1	1	1
1	3	1	1
1	1	1	1
3	2	2	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	1
2	1	0	2
1	1	1	1
3	4	2	3
0	1	1	0
6	4	4	4
1	1	1	1
0	1	1	0
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	4	2	1
1	1	1	1
0	1	1	0
2	2	1	2
2	1	1	1
1	1	2	1
2	1	1	1
1	1	1	1
3	2	1	3
1	1	1	1
1	2	1	1
1	1	1	1
1	1	1	1
0	1	2	0
7	1	1	0
2	1	1	1
2	1	2	2
4	2	2	4
1	1	1	1
4	2	3	5
2	1	1	2
1	1	2	1
1	2	2	1
1	1	1	1
1	2	2	1
1	1	1	1
4	2	2	9
1	1	1	1
3	2	1	3
0	1	1	0
9	8	6	9
1	2	2	1
1	1	1	1
1	1	1	2
1	1	0	1
1	2	1	1
1	1	1	1
1	3	1	1
1	1	1	1
3	1	1	2
1	1	1	1
0	1	1	0
1	1	0	1
1	1	1	1
2	1	1	2
22	57	13	26
2	1	1	2
1	1	1	1
1	1	0	1
1	2	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	0	2
1	1	1	1
1	2	1	2
2	2	2	3
1	1	0	1
1	1	1	1
1	1	1	1
2	1	0	2
1	1	1	1
3	2	1	3
1	1	2	1
0	1	1	0
2	1	1	2
0	1	1	0
2	1	0	1
1	1	0	1
1	1	1	1
1	1	1	1
1	1	1	2
1	1	1	1
0	1	1	0
5	2	2	7
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
0	4	1	0
4	2	2	6
1	1	1	1
1	2	0	1
2	1	1	2
0	5	0	10
1	1	1	1
2	1	1	2
0	1	1	0
2	1	1	1
1	1	1	1
1	1	1	1
2	1	0	2
1	1	0	1
1	1	0	1
4	1	1	2
1	1	1	1
2	1	0	2
1	1	1	1
1	1	1	1
0	1	1	0
0	1	1	0
1	1	0	1
1	2	1	1
3	2	2	9
0	1	1	0
1	1	1	2
1	2	1	1
1	1	1	1
1	1	1	1
3	2	1	3
1	1	1	1
2	2	1	2
1	1	1	1
1	1	0	1
1	1	1	1
0	2	2	1
2	2	2	2
1	1	0	1
1	1	1	1
1	1	1	1
